No,Name,Type,Maps Link,,
1,Air  Terjun Curug Silawe,alam,https://maps.app.goo.gl/e6yrHf2iXTAYoma26,,
2,Air Terjun Kedung Kayang,alam,https://maps.app.goo.gl/VXM89KVsN3nZtFBaA,,
3,Ketep Pass,alam,https://maps.app.goo.gl/uWw8WYig5gwQ8acm8,,
4,Air Terjun Sekar langit,alam,https://maps.app.goo.gl/YgFyc7WeGfJpWUSD6,,
5,Telaga Bleder,alam,https://maps.app.goo.gl/wiKPDv7FqGe5qpit5,,
6,Pemandian Air Hangat Candi Umbul,alam,https://maps.app.goo.gl/9knohwAjcmtyoUfT7,,
7,Air Terjun Sumuran Seloprojo,alam,https://maps.app.goo.gl/6iQXrb6rZsVCx1r66,,
8,Punthuk Mongkrong,alam,https://maps.app.goo.gl/uWFFVkM6xG2x6X939,,
9,Bekas Danau Purba,alam,,,
10,Agrowisata Desa Borobudur,alam,,,
11,Agrowisata Sentra Nanas Kembanglimus,alam,,,
12,Agrowisata Honey Bee Garden (Desa Giri Tengah),alam,,,
13,Susur Sungai Elo,alam,https://maps.app.goo.gl/hTxkTDxGCWJ64cXd7,,
14,Punthuk Mangir Gunung Payung,alam,https://maps.app.goo.gl/gn8oNuFwwZvR1mEM8,,
15,Taman Wisata Karang Wulan,alam,,,
16,Saujana Perkampungan Lereng Gunung,alam,,,
17,Bukit Menoreh,alam,https://maps.app.goo.gl/ShHQLNgjHcVKwN546,,
18,Candi Ngawen,budaya,https://maps.app.goo.gl/mweeEuTARd1LpiGv6,,
19,Wisata Palbapang,budaya,,,
20,Candi Kenyo Wringinputih,budaya,,,
21,Situs Brongsongan,budaya,https://maps.app.goo.gl/JBqKBe92VexAfg5Q8,,
22,Candi Brangkal,budaya,,,
23,Situs Dipan,budaya,https://maps.app.goo.gl/z9KeELMK8uGQL5Ut7,,
24,Candi Asu Sengi,budaya,https://maps.app.goo.gl/JPFRTV16UjhDpXg46,,
25,Candi Pendem,budaya,https://maps.app.goo.gl/gaf258aHg11L1NUq5,,
26,Bukit Gunung Gono,budaya,https://maps.app.goo.gl/gaf258aHg11L1NUq5,,
27,Candi Lumbung,budaya,https://maps.app.goo.gl/mm2uLU6X1gw8wguFA,,
28,Candi Retno,budaya,,,
29,Candi Gunungsari,budaya,https://maps.app.goo.gl/mrFgShS4Mg8YFwdz9,,
30,Candi Losari,budaya,https://maps.app.goo.gl/Zw3ucESnNdnwY85UA,,
31,Candi Selogriyo,budaya,https://maps.app.goo.gl/o9byirSVWJuvMsQm7,,
32,Candi Batur,budaya,https://maps.app.goo.gl/GzvjwBnaYvaTYy997,,
33,Situs Plandi,budaya,https://maps.app.goo.gl/hYvtvc7t8LkuZvZ28,,
34,Situs Samberan,budaya,https://maps.app.goo.gl/D1NnG9J5YDLFbjpEA,,
35,Situs Bowongan,budaya,https://maps.app.goo.gl/GFyKbwUwcEoPutDt7,,
36,Festival Telaga Bleder,buatan,https://maps.app.goo.gl/6AQkaYefmc6nmW1S7,,
37,Makam Kerkoff Mendut,buatan,https://maps.app.goo.gl/XgMJC1WVofddFdfQ9 ,,
38,Taman Rekreasi Mendut,buatan,,,
39,Borobudur Marathon,buatan,https://maps.app.goo.gl/joNCLEE12uprgGSV8,,
40,Perayaan Trisuci Waisak,buatan,https://maps.app.goo.gl/joNCLEE12uprgGSV8,,
41,Gelar Budaya Wanurejo,buatan,,,
42,Festival Kali Elo,buatan,https://maps.app.goo.gl/z9vuR1H4u8CQgXiZ9,,
43,Festival Makanan Djadoel,buatan,,,
44,Borobudur Island Park Candirejo,buatan,,,
45,Borobudur Art Center dan Village Healthy Life di Rumah Dharma Wanurejo,buatan,https://maps.app.goo.gl/2JJQtUjWMB2QkAyu8,,
46,Floating Market Bigaran,buatan,,,
47,Kampung Dolanan Bumiharjo,buatan,https://maps.app.goo.gl/FPVYptpgXHuhkZpM9 ,,
48,Galeri dan Kerjainan Bambu Kebonsari,buatan,https://maps.app.goo.gl/MBScUT9GURLzXotX9,,
49,Pasar Wisata dan Rest Area Sambirejo,buatan,,,
50,Sentra Tahu Tanjungsari,buatan,,,
51,Wisata Industri Pengolahan Air Minum Skala Desa Sambeng,buatan,,,
52,Arena Rekreatif dan Swafoto Svargabumi Ngadiharjo,buatan,https://maps.app.goo.gl/9Vukjxtrv7KeRwvK8,,
53,Desa Wisata Candirejo,buatan,https://maps.app.goo.gl/5wrm3ydrsogDstK36,,
54,Desa Wisata Wanurejo,buatan,https://maps.app.goo.gl/xmPnYPnWX7BaHTRE6,,
55,Desa Wisata Karangrejo,buatan,https://maps.app.goo.gl/oGTv91SkMa6go2h29,,
56,Desa Wisata Borobudur,buatan,https://maps.app.goo.gl/Lfxa5JNFUrGbGQJz8,,
57,Desa Wisata Karanganyar,buatan,https://maps.app.goo.gl/sLQjyJ4D4mSfwxZD8 ,,
58,Desa Wisata Wringinputih,buatan,https://maps.app.goo.gl/PNLmAnydHLgbPADP8,,
59,Desa Wisata Giripurrno,buatan,https://maps.app.goo.gl/k7Q6LcCzwcxZfiMY7,,
60,Desa Wisata Giritengah,buatan,https://maps.app.goo.gl/jtgYYDS5MWPgtFV66,,
61,Desa Wisata Sambeng,buatan,https://maps.app.goo.gl/qhHSwd6ca7gbPMnh9,,
62,Desa Wisata Ngadiharjo,buatan,https://maps.app.goo.gl/f1Rxz1bkobD5xpnz5,,
63,Desa Wisata Majaksingi,buatan,https://maps.app.goo.gl/TfAoFz42af6ZwmW58,,
64,Desa Wisata Bigaran,buatan,https://maps.app.goo.gl/Djs4oiqrAKSkmM3G7,,
65,Desa Wisata Kebonsari,buatan,,,
66,Desa Wisata Ngargogondo,buatan,https://maps.app.goo.gl/KbukTkp8z1b5g2dy9,,
67,Desa Wisata Tanjungsari,buatan,,,
68,Desa Wisata Tuksongo,buatan,https://maps.app.goo.gl/wbSFDnawPHyGuNw57,,
69,Desa Wisata Ngadiharjo,buatan,https://maps.app.goo.gl/bxZThcorXDhnxtieA,,
70,Desa Wisata Kenalan,buatan,https://maps.app.goo.gl/QZYhMTFbsy25CggQA,,
71,Desa Wisata Tegalarum,buatan,https://maps.app.goo.gl/Z69YWZtKWUDMm9Hc7,,
72,Desa Wisata Kembanglimus,buatan,https://maps.app.goo.gl/HdpKzSCSMwaEGTue8,,
73,Taman Wisata dan Rest Area Tegalsari,buatan,https://maps.app.goo.gl/Hfx3UAN2yaQjVtpD9,,
74,Penyangga Obyek Wisata Gembira Loka,alam,https://maps.app.goo.gl/Yp5xfSTtyNNGmA6z8,,
75,Gethekan Susur Sungai dan Gajah Wong Riverwalk,alam,https://maps.app.goo.gl/a1sdTz5Bf4qMh3WG9,,
76,Puncak Suroloyo,alam,https://maps.app.goo.gl/fnoQcJqrYaBKDcQq6,,
77,Perkebunan The Nglinggo,alam,https://maps.app.goo.gl/hmnA1cTD1X7kc7dN7,,
78,Goa Kiskendo,alam,https://maps.app.goo.gl/rr2FUrkD1KQWxkZQ9,,
79,Kalibiru,alam,https://maps.app.goo.gl/NXDXhU1PsVymaS23A,,
80,Tradisi Apeman dan Ruwahan,budaya,,,
81,Kawasan Malioboro-Margamulya,budaya,https://maps.app.goo.gl/meduDbg1eTjUGCtSA,,
82,Kraton Yogyakarta,budaya,https://maps.app.goo.gl/H68WDkvWJsi1B6qJ9,,
83,Pagelaran Kraton,budaya,https://maps.app.goo.gl/8nm7zzpdRMsvMybSA,,
84,Penyangga Obyek Wisata Tamansari dan Kraton Yogyakarta,budaya,https://maps.app.goo.gl/fHYHtBxvXjTAJLnX6,,
85,Ndalem Mangkubumen,budaya,https://maps.app.goo.gl/6KgjT8TdYW69keuS6,,
86,Ndalem Condroprajan,budaya,,,
87,Ndalem Wiragunan,budaya,,,
88,Ndalem Purwodirjan,budaya,,,
89,Ndalem Kaneman,budaya,https://maps.app.goo.gl/qJhGtviHxXAjjH7T6,,
90,Ndalem Pakuningratan,budaya,https://maps.app.goo.gl/6xG5SEPQ523oVFMVA,,
91,Ndalem Joyokusuman,budaya,https://maps.app.goo.gl/92aSGhoHApYso1Xp7,,
