No,Name,Type,Maps_Link,lat,long,longlat
1,Air  Terjun Curug Silawe,alam,https://maps.app.goo.gl/e6yrHf2iXTAYoma26,-7.4583289,110.0700779,"110.070078,-7.458329"
2,Air Terjun Kedung Kayang,alam,https://maps.app.goo.gl/VXM89KVsN3nZtFBaA,-7.5002343,110.3905167,"110.390517,-7.500234"
3,Ketep Pass,alam,https://maps.app.goo.gl/uWw8WYig5gwQ8acm8,-7.4944699,110.3815682,"110.381568,-7.494470"
4,Air Terjun Sekar langit,alam,https://maps.app.goo.gl/YgFyc7WeGfJpWUSD6,-7.3667553,110.35737,"110.357370,-7.366755"
5,Telaga Bleder,alam,https://maps.app.goo.gl/wiKPDv7FqGe5qpit5,-7.3836109,110.3463889,"110.346389,-7.383611"
6,Pemandian Air Hangat Candi Umbul,alam,https://maps.app.goo.gl/9knohwAjcmtyoUfT7,-7.359594,110.2970327,"110.297033,-7.359594"
7,Air Terjun Sumuran Seloprojo,alam,https://maps.app.goo.gl/6iQXrb6rZsVCx1r66,-7.3614171,110.3804165,"110.380416,-7.361417"
8,Punthuk Mongkrong,alam,https://maps.app.goo.gl/uWFFVkM6xG2x6X939,-7.6345,110.174606,"110.174606,-7.634500"
9,Bekas Danau Purba,alam,,,,
10,Agrowisata Desa Borobudur,alam,,,,
11,Agrowisata Sentra Nanas Kembanglimus,alam,,,,
12,Agrowisata Honey Bee Garden (Desa Giri Tengah),alam,,,,
13,Susur Sungai Elo,alam,https://maps.app.goo.gl/hTxkTDxGCWJ64cXd7,-7.5445911,110.2414975,"110.241497,-7.544591"
14,Punthuk Mangir Gunung Payung,alam,https://maps.app.goo.gl/gn8oNuFwwZvR1mEM8,-7.4993344,110.1540481,"110.154048,-7.499334"
15,Taman Wisata Karang Wulan,alam,,,,
16,Saujana Perkampungan Lereng Gunung,alam,,,,
17,Bukit Menoreh,alam,https://maps.app.goo.gl/ShHQLNgjHcVKwN546,-7.7725826,110.0988405,"110.098840,-7.772583"
18,Candi Ngawen,budaya,https://maps.app.goo.gl/mweeEuTARd1LpiGv6,-7.6041633,110.2622234,"110.262223,-7.604163"
19,Wisata Palbapang,budaya,,,,
20,Candi Kenyo Wringinputih,budaya,,,,
