OBJECTID,Name,Type,x,y
1,Camp Kandang Kidang,camp_site,396837.849,9183673.584
2,Nepal Van Java,attraction,398166.4303,9179662.543
3,Joglo Jeep,gallery,420400.3838,9160548.045
4,Taman Rekreasi Kyai Langgeng Kab. Magelang,theme_park,412711.2825,9172731.957
5,PUNCAK WIDOSARI,attraction,406082.7796,9153435.972
6,Natural stone,artwork,426271.2336,9156067.146
7,Sunset viewpoint,viewpoint,413471.5862,9158357.759
8,EMBUNG TONOGORO,viewpoint,415676.0198,9153345.642
9,Borobudur Nirwana Sunrise,viewpoint,409279.3321,9159054.442
10,Preparation area Temple access,attraction,412632.1904,9159066.102
11,Village Klipoh (Nglipoh),attraction,410056.7085,9158043.508
12,Mongkrong Hill View,viewpoint,408947.7775,9156015.746
13,Bukit Rhema (Chicken Church),attraction,409614.0919,9159216.374
14,Bukit Barede,viewpoint,410059.2888,9159120.806
15,Punthuk Setumbu Reforestation Project,attraction,409287.929,9159041.036
16,Peta Borobudur,information,412773.6621,9159116.798
17,Candi Gunung Wukir,attraction,422440.5946,9156073.713
18,Informasi Cuaca dari BMKG,information,412690.9563,9159101.047
19,Peta Lokasi Situs di Kawasan Strategis Nasional Borobudur,information,412089.2075,9158964.905
20,Bukit Dagi,viewpoint,411784.1181,9159518.924
21,Borobudur Nirwana Sunrise / Punthuk Setumbu,information,409691.9113,9158642.821
22,Camping Ground Gunung Andong,camp_site,431278.1925,9183151.046
23,Gunung Kunir,viewpoint,403603.186,9156284.153
24,Grojogan Watu Purbo,attraction,427178.3329,9156561.948
25,ketep pass,viewpoint,431761.3951,9171447.046
26,Viewpoint Merapi,viewpoint,438934.8281,9174325.638
27,Gunung Merapi,viewpoint,439023.4329,9166531.394
28,Pos II,camp_site,439533.9419,9167441.821
29,Bukit Punthuk Setumbu,picnic_site,409310.8647,9159017.011
30,Borobudur Highlands,camp_site,405258.3344,9154799.068
31,Gedong Pass,viewpoint,438624.8501,9180226.306
32,Campground Pos Pemancar,camp_site,437869.2687,9177298.481
33,Jembatan Setan,information,438303.7209,9176689.957
34,HM9,information,437110.9357,9179452.995
35,Pos Bayangan 1,camp_pitch,436246.6391,9179666.971
36,Sunrise Camp Puncak Ngratan,camp_site,434233.5299,9185813.025
37,Pinttu Rimba,information,434288.0325,9174190.519
38,Balong Camping Ground,camp_site,434159.167,9187333.103
39,Rest Area,viewpoint,432894.1299,9171442.769
40,Museum BPK RI,museum,413278.4726,9173763.973
41,Mangli Sky View,viewpoint,400735.619,9181014.158
42,NEPAL VAN JAVA Dusun Butuh,artwork,398072.3204,9179669.18
43,Gerbang Jalur Sejati Gunung Sumbing,information,398111.1783,9180083.452
44,SILANCUR HIGHLAND,viewpoint,401559.449,9180314.071
45,Pasar Bubrah,camp_site,439258.3917,9167029.483
46,Taman Wisata Kopeng,attraction,435909.4412,9182155.703
47,Puncak Alap-Alap,viewpoint,430920.3867,9183423.273
48,Camp Area,camp_site,430508.9238,9183113.139
49,Taman Air Kalibening,attraction,414019.596,9179375.031
50,Batu Tulis,camp_pitch,437956.139,9176896.507
51,火山熔岩Gubug Merapi Arum Sari,viewpoint,433617.6988,9160194.064
52,Candi Umbul,attraction,422423.9096,9186439.88
53,Pemandian Air Panas Tirta Madu Barokah,attraction,410371.6695,9163193.981
54,Pemandian Air Panas Ngasinan,attraction,410377.7563,9163296.018
55,Kali Talang,attraction,440574.6537,9161826.72
56,Candi Prambanan,attraction,443924.7629,9143083.467
57,Klangon Hill,viewpoint,439916.1166,9162398.04
58,Museum Gula,museum,451647.7937,9146499.012
59,Sunset Temple Viewpoint,viewpoint,444102.7563,9143289.289
60,Reca Carat,artwork,468139.8912,9152861.124
61,Titik pandang,viewpoint,439825.8717,9162421.585
62,R. Mas bagio di umbul ponggok,artwork,459840.6764,9158492.765
63,Candi Sojiwan,attraction,444440.9603,9142103.153
64,Prambanan entrance,attraction,444348.1507,9142843.405
65,Borobudur,attraction,412177.3039,9158962.559
66,Galeri Unik dan Seni Borobudur,gallery,411918.7119,9159306.343
67,Desa Wisata Pulesari,camp_site,430738.3657,9157121.474
68,Museum Kapal Samudraraksa,museum,412124.8641,9159320.123
69,Candi Pawon,attraction,413913.0515,9159167.286
70,Gereja Ayam,theme_park,409656.3467,9159208.887
71,Museum Borobudur,museum,412265.1014,9159385.128
72,Kandang Gajah,zoo,411894.6544,9159103.734
73,Pusat Informasi,information,412630.9496,9159053.876
