point_index,feature_1,feature_2,feature_3,feature_4,cluster,is_centre,centre_index
0,1.0,14.23,3.06,3.92,1,False,56
1,1.0,13.2,2.76,3.4,1,False,56
2,1.0,13.16,3.24,3.17,1,False,56
3,1.0,14.37,3.49,3.45,1,False,56
4,1.0,13.24,2.69,2.93,1,False,56
5,1.0,14.2,3.39,2.85,1,False,56
6,1.0,14.39,2.52,3.58,1,False,56
7,1.0,14.06,2.51,3.58,1,False,56
8,1.0,14.83,2.98,2.85,1,False,56
9,1.0,13.86,3.15,3.55,1,False,56
10,1.0,14.1,3.32,3.17,1,False,56
11,1.0,14.12,2.43,2.82,1,False,56
12,1.0,13.75,2.76,2.9,1,False,56
13,1.0,14.75,3.69,2.73,1,False,56
14,1.0,14.38,3.64,3.0,1,False,56
15,1.0,13.63,2.91,2.88,1,False,56
16,1.0,14.3,3.14,2.65,1,False,56
17,1.0,13.83,3.4,2.57,1,False,56
18,1.0,14.19,3.93,2.82,1,False,56
19,1.0,13.64,3.03,3.36,1,False,56
20,1.0,14.06,3.17,3.71,1,False,56
21,1.0,12.93,2.41,3.52,1,False,56
22,1.0,13.71,2.88,4.0,1,False,56
23,1.0,12.85,2.37,3.63,1,False,56
24,1.0,13.5,2.61,3.82,1,False,56
25,1.0,13.05,2.68,3.2,1,False,56
26,1.0,13.39,2.94,3.22,1,False,56
27,1.0,13.3,2.19,2.77,1,False,56
28,1.0,13.87,2.97,3.4,1,False,56
29,1.0,14.02,2.33,3.59,1,False,56
30,1.0,13.73,3.25,2.71,1,False,56
31,1.0,13.58,3.19,2.88,1,False,56
32,1.0,13.68,2.69,2.87,1,False,56
33,1.0,13.76,2.74,3.0,1,False,56
34,1.0,13.51,2.53,2.87,1,False,56
35,1.0,13.48,2.98,3.47,1,False,56
36,1.0,13.28,2.68,2.78,1,False,56
37,1.0,13.05,2.43,2.51,1,False,56
38,1.0,13.07,2.64,2.69,1,False,56
39,1.0,14.22,3.04,3.53,1,False,56
40,1.0,13.56,3.29,3.38,1,False,56
41,1.0,13.41,2.68,3.0,1,False,56
42,1.0,13.88,3.56,3.56,1,False,56
43,1.0,13.24,2.63,3.0,1,False,56
44,1.0,13.05,3.0,3.35,1,False,56
45,1.0,14.21,2.65,3.33,1,False,56
46,1.0,14.38,3.17,3.44,1,False,56
47,1.0,13.9,3.39,3.33,1,False,56
48,1.0,14.1,2.92,2.75,1,False,56
49,1.0,13.94,3.54,3.1,1,False,56
50,1.0,13.05,3.27,2.91,1,False,56
51,1.0,13.83,2.99,3.37,1,False,56
52,1.0,13.82,3.74,3.26,1,False,56
53,1.0,13.77,2.79,2.93,1,False,56
54,1.0,13.74,2.9,3.2,1,False,56
55,1.0,13.56,2.78,3.03,1,True,56
56,1.0,14.22,3.0,3.31,1,False,56
57,1.0,13.29,3.23,2.84,1,False,56
58,1.0,13.72,3.67,2.87,1,False,56
59,2.0,12.37,0.57,1.82,3,False,169
60,2.0,12.33,1.09,1.67,3,False,169
61,2.0,12.64,1.41,1.59,3,False,169
62,2.0,13.67,1.79,2.46,1,False,56
63,2.0,12.37,3.1,2.87,2,False,107
64,2.0,12.17,1.75,2.23,2,False,107
65,2.0,12.37,2.65,2.3,2,False,107
66,2.0,13.11,3.18,3.18,1,False,56
67,2.0,12.37,2.0,3.48,2,False,107
68,2.0,13.34,1.3,1.93,3,False,169
69,2.0,12.21,1.28,3.07,2,False,107
70,2.0,12.29,1.02,1.82,3,False,169
71,2.0,13.86,2.86,3.16,1,False,56
72,2.0,13.49,1.84,2.78,2,False,107
73,2.0,12.99,2.89,3.5,2,False,107
74,2.0,11.96,2.14,3.13,2,False,107
75,2.0,11.66,1.57,2.14,2,False,107
76,2.0,13.03,2.03,2.48,2,False,107
77,2.0,11.84,1.32,2.52,2,False,107
78,2.0,12.33,1.85,2.31,2,False,107
79,2.0,12.7,2.55,3.13,2,False,107
80,2.0,12.0,2.26,3.12,2,False,107
81,2.0,12.72,2.53,3.14,2,False,107
82,2.0,12.08,1.58,2.72,2,False,107
83,2.0,13.05,1.59,2.01,3,False,169
84,2.0,11.84,2.21,3.08,2,False,107
85,2.0,12.67,1.94,3.16,2,False,107
86,2.0,12.16,1.69,2.26,2,False,107
87,2.0,11.65,1.61,3.21,2,False,107
88,2.0,11.64,1.69,2.75,2,False,107
89,2.0,12.08,1.59,3.21,2,False,107
90,2.0,12.08,1.5,2.27,2,False,107
91,2.0,12.0,1.25,2.65,2,False,107
92,2.0,12.69,1.46,2.06,2,False,107
93,2.0,12.29,2.25,3.3,2,False,107
94,2.0,11.62,2.26,2.96,2,False,107
95,2.0,12.47,2.27,2.63,2,False,107
96,2.0,11.81,0.99,2.26,2,False,107
97,2.0,12.29,2.5,2.74,2,False,107
98,2.0,12.37,3.75,2.77,2,False,107
99,2.0,12.29,2.99,2.83,2,False,107
100,2.0,12.08,2.17,2.96,2,False,107
101,2.0,12.6,1.36,2.77,2,False,107
102,2.0,12.34,2.11,3.38,2,False,107
103,2.0,11.82,1.64,2.44,2,False,107
104,2.0,12.51,1.92,3.57,2,False,107
105,2.0,12.42,1.84,3.3,2,False,107
106,2.0,12.25,2.03,3.17,2,True,107
107,2.0,12.72,1.76,2.42,2,False,107
108,2.0,12.22,2.04,3.02,2,False,107
109,2.0,11.61,2.92,3.26,2,False,107
110,2.0,11.46,2.58,2.81,2,False,107
111,2.0,12.52,2.27,2.78,2,False,107
112,2.0,11.76,2.03,2.5,2,False,107
113,2.0,11.41,2.01,2.31,2,False,107
114,2.0,12.08,2.29,3.19,2,False,107
115,2.0,11.03,2.17,2.87,2,False,107
116,2.0,11.82,1.6,3.33,2,False,107
117,2.0,12.42,2.09,2.96,2,False,107
118,2.0,12.77,1.25,2.12,3,False,169
119,2.0,12.0,1.64,3.05,2,False,107
120,2.0,11.45,2.79,3.39,2,False,107
121,2.0,11.56,5.08,3.69,2,False,107
122,2.0,12.42,2.13,3.12,2,False,107
123,2.0,13.05,2.65,3.1,2,False,107
124,2.0,11.87,3.03,3.64,2,False,107
125,2.0,12.07,2.65,3.28,2,False,107
126,2.0,12.43,3.15,2.84,2,False,107
127,2.0,11.79,2.24,2.44,2,False,107
128,2.0,12.37,2.45,2.78,2,False,107
129,2.0,12.04,1.75,2.57,2,False,107
130,3.0,12.86,1.25,1.29,3,False,169
131,3.0,12.88,1.22,1.42,3,False,169
132,3.0,12.81,1.09,1.36,3,False,169
133,3.0,12.7,1.2,1.29,3,False,169
134,3.0,12.51,0.58,1.51,3,False,169
135,3.0,12.6,0.66,1.58,3,False,169
136,3.0,12.25,0.47,1.27,3,False,169
137,3.0,12.53,0.6,1.69,3,False,169
138,3.0,13.49,0.48,1.82,3,False,169
139,3.0,12.84,0.6,2.15,3,False,169
140,3.0,12.93,0.5,2.31,3,False,169
141,3.0,13.36,0.5,2.47,3,False,169
142,3.0,13.52,0.52,2.06,3,False,169
143,3.0,13.62,0.8,2.05,3,False,169
144,3.0,12.25,0.78,2.0,3,False,169
145,3.0,13.16,0.55,1.68,3,False,169
146,3.0,13.88,0.34,1.33,3,False,169
147,3.0,12.87,0.65,1.86,3,False,169
148,3.0,13.32,0.76,1.62,3,False,169
149,3.0,13.08,1.39,1.33,3,False,169
150,3.0,13.5,1.57,1.3,3,False,169
151,3.0,12.79,1.36,1.47,3,False,169
152,3.0,13.11,1.28,1.33,3,False,169
153,3.0,13.23,0.83,1.51,3,False,169
154,3.0,12.58,0.58,1.55,3,False,169
155,3.0,13.17,0.63,1.48,3,False,169
156,3.0,13.84,0.83,1.64,3,False,169
157,3.0,12.45,0.58,1.73,3,False,169
158,3.0,14.34,1.31,1.96,3,False,169
159,3.0,13.48,1.1,1.78,3,False,169
160,3.0,12.36,0.92,1.58,3,False,169
161,3.0,13.69,0.56,1.82,3,False,169
162,3.0,12.85,0.6,2.11,3,False,169
163,3.0,12.96,0.7,1.75,3,False,169
164,3.0,13.78,0.68,1.68,3,False,169
165,3.0,13.73,0.47,1.75,3,False,169
166,3.0,13.45,0.92,1.56,3,False,169
167,3.0,12.82,0.66,1.75,3,False,169
168,3.0,13.58,0.84,1.8,3,True,169
169,3.0,13.4,0.96,1.92,3,False,169
170,3.0,12.2,0.49,1.83,3,False,169
171,3.0,12.77,0.51,1.63,3,False,169
172,3.0,14.16,0.7,1.71,3,False,169
173,3.0,13.71,0.61,1.74,3,False,169
174,3.0,13.4,0.75,1.56,3,False,169
175,3.0,13.27,0.69,1.56,3,False,169
176,3.0,13.17,0.68,1.62,3,False,169
177,3.0,14.13,0.76,1.6,3,False,169
