point_index,latitude,longitude,cluster,is_centre,centre_index
0,409279.3321,9159054.442,7,False,194
1,412632.1904,9159066.1022,7,False,194
2,440373.57,9129900.5097,1,False,25
3,442601.1648,9132562.348,1,False,25
4,442676.7535,9132745.1233,1,False,25
5,432454.106,9135962.834,8,False,254
6,432360.8321,9135924.136,8,False,254
7,439404.3105,9143440.48,5,False,165
8,433235.2448,9146088.1576,8,False,254
9,442991.3373,9146103.1032,5,False,165
10,411784.1181,9159518.9235,7,False,194
11,431349.4242,9138270.1771,8,False,254
12,409614.0919,9159216.3742,7,False,194
13,410059.2888,9159120.8059,7,False,194
14,409287.929,9159041.0362,7,False,194
15,425033.4262,9123808.1238,4,False,112
16,436901.0515,9121393.3665,1,False,25
17,441817.1285,9121156.395,1,False,25
18,443743.4559,9121945.3577,1,False,25
19,451643.1825,9120277.2105,1,False,25
20,437300.0617,9123332.4838,1,False,25
21,437330.0175,9123833.7887,1,False,25
22,437274.8216,9123822.4695,1,False,25
23,437787.2727,9125075.8292,1,False,25
24,437770.8574,9124387.3605,1,True,25
25,438177.3534,9124317.652,1,False,25
26,437781.4566,9125178.5615,1,False,25
27,437970.6254,9126576.1956,1,False,25
28,459049.0981,9116074.3198,6,False,108
29,424901.4654,9116411.3754,4,False,112
30,437548.2762,9120515.8167,1,False,25
31,423276.5766,9131738.8189,8,False,254
32,457594.1902,9136345.2106,5,False,165
33,455472.6596,9135489.6436,5,False,165
34,425211.6064,9130510.611,8,False,254
35,431084.2043,9139896.4887,8,False,254
36,396657.8767,9127683.7109,2,False,169
37,396768.8783,9127994.3183,2,False,169
38,403876.84,9137060.1868,2,False,169
39,446920.1323,9138936.3518,5,False,165
40,436797.2676,9159517.7084,3,False,43
41,436241.5913,9160184.4796,3,False,43
42,437216.2232,9160539.4349,3,True,43
43,436760.9172,9161063.2747,3,False,43
44,437285.1824,9161218.1555,3,False,43
45,436508.4912,9160663.1955,3,False,43
46,438600.0649,9130959.3001,1,False,25
47,441490.6561,9150504.6999,5,False,165
48,403603.186,9156284.1531,7,False,194
49,408947.7775,9156015.746,7,False,194
50,427178.3329,9156561.948,3,False,43
51,440749.7802,9103940.8624,6,False,108
52,437729.0455,9104910.785,4,False,112
53,437763.747,9105001.3798,4,False,112
54,446528.7106,9102253.4671,6,False,108
55,439825.8717,9162421.585,3,False,43
56,438383.6992,9134615.2211,8,False,254
57,421992.6667,9114432.9744,4,False,112
58,425176.7575,9114026.2459,4,False,112
59,426682.0327,9113310.1069,4,False,112
60,428177.7345,9111367.9294,4,False,112
61,429939.7444,9135732.7018,8,False,254
62,429390.151,9135775.4702,8,False,254
63,429834.6257,9135866.2925,8,False,254
64,428875.9087,9135029.9138,8,False,254
65,427442.8833,9135390.723,8,False,254
66,428052.5761,9135654.0257,8,False,254
67,427586.7763,9136061.9788,8,False,254
68,467858.1764,9119185.6608,6,False,108
69,430512.9584,9134995.3246,8,False,254
70,431964.4027,9134968.2445,8,False,254
71,437884.385,9123594.393,1,False,25
72,431415.9219,9140654.6352,8,False,254
73,433101.8193,9136619.5391,8,False,254
74,424260.7722,9133296.5454,8,False,254
75,404014.8722,9136801.643,2,False,169
76,439045.2002,9159629.3606,3,False,43
77,439233.4051,9159831.5394,3,False,43
78,437771.1236,9159714.813,3,False,43
79,437851.756,9160981.9315,3,False,43
80,439077.9186,9161811.2414,3,False,43
81,439098.2669,9161771.4566,3,False,43
82,434198.684,9123859.7112,1,False,25
83,435197.5419,9123719.91,1,False,25
84,433557.8098,9124386.3985,1,False,25
85,429767.1157,9131714.3672,8,False,254
86,460218.7347,9114600.7054,6,False,108
87,446162.6168,9139541.0339,5,False,165
88,429627.2511,9135659.781,8,False,254
89,432311.1704,9135949.0385,8,False,254
90,434607.3705,9137725.3116,8,False,254
91,431138.1664,9139702.9057,8,False,254
92,443585.8832,9143047.3283,5,False,165
93,428756.0028,9137845.9201,8,False,254
94,430297.678,9137638.4314,8,False,254
95,430744.4022,9135939.8852,8,False,254
96,429703.5559,9135807.4325,8,False,254
97,422594.8383,9131079.5125,8,False,254
98,440245.9224,9155676.0874,3,False,43
99,436479.2822,9161185.5293,3,False,43
100,439470.814,9159464.3242,3,False,43
101,438774.9464,9161790.8447,3,False,43
